movie_title;date_top10;viewership;release_netflix;release_theater;box_office_performance;meta_rating;unique_id;holdback_months
Scooby-Doo 2: Monsters Unleashed;12-10-2022;8;02-10-2022;26-03-2004;84216833;34;tt0331632;222
Charlotte's Web;16-10-2022;1;02-10-2022;15-12-2006;82985708;68;tt0413895;189
The Grinch;14-11-2020;21;;09-11-2018;270620950;51;tt2709692;18
The Spy Next Door;14-11-2020;1;;15-01-2010;24307086;27;tt1273678;123
Prom Night;18-11-2020;1;;11-04-2008;43869350;17;tt0926129;145
Spider-Man: Into the Spider-Verse;19-11-2020;3;;14-12-2018;90241310;87;tt4633694;17
Little Nicky;06-12-2020;10;;10-11-2000;39464775;38;tt0185431;234
Madea's Big Happy Family;08-12-2020;4;;22-04-2011;53345287;45;tt1787759;109
A Bad Moms Christmas;25-12-2020;2;;01-11-2017;72110659;42;tt6359956;31
The Adventures of Sharkboy and Lavagirl;29-12-2020;9;;10-06-2005;39177684;38;tt0424774;180
Four Christmases;02-01-2021;5;;26-11-2008;120146040;41;tt0369436;139
S.W.A.T.;04-01-2021;8;;08-08-2003;116934650;45;tt0257076;202
Hummingbird;06-01-2021;4;;28-06-2013;36895;43;tt1893256;84
Blue Streak;06-01-2021;1;;17-09-1999;68518533;46;tt0181316;249
Good Burger;07-01-2021;15;;25-07-1997;23712993;41;tt0119215;275
Catch Me If You Can;07-01-2021;9;;25-12-2002;164615351;75;tt0264464;210
Surf's Up;07-01-2021;3;;08-06-2007;58867694;64;tt0423294;156
Killers;09-01-2021;8;;04-06-2010;47059963;21;tt1103153;121
Superbad;12-01-2021;6;;17-08-2007;121463226;76;tt0829482;154
Shutter Island;05-02-2021;4;;19-02-2010;128012934;63;tt1130884;125
Beverly Hills Ninja;10-02-2021;2;;17-01-1997;31480418;27;tt0118708;282
Operation Finale;23-02-2021;3;;29-08-2018;17612099;58;tt5208252;23
Crazy, Stupid, Love.;02-03-2021;6;;29-07-2011;84351197;68;tt1570728;109
No Escape;02-03-2021;4;;26-08-2015;27288872;38;tt1781922;60
I Am Legend;04-03-2021;13;;14-12-2007;256393010;65;tt0480249;152
Two Weeks Notice;06-03-2021;7;;20-12-2002;93354851;42;tt0313737;212
Batman Begins;08-03-2021;5;;15-06-2005;205343774;70;tt0372784;182
Safe Haven;11-03-2021;7;;14-02-2013;71349120;34;tt1702439;90
Black or White;15-03-2021;2;;30-01-2015;21571189;45;tt2883434;67
Lawless;31-03-2021;2;;29-08-2012;37400127;58;tt1212450;97
Waterworld;06-04-2021;4;;28-07-1995;88246220;56;tt0114898;302
Accepted;08-04-2021;8;;18-08-2006;36323505;47;tt0384793;169
The Lorax;30-04-2021;1;;02-03-2012;214030500;46;tt1482459;103
Madagascar 3: Europe's Most Wanted;02-05-2021;30;;08-06-2012;216391482;60;tt1277953;100
Waist Deep;03-05-2021;4;;23-06-2006;21344312;37;tt0456020;172
Scarface;03-05-2021;17;;09-12-1983;44668798;65;tt0086250;442
State of Play;04-05-2021;10;;17-04-2009;37017955;64;tt0473705;138
G.I. Joe: The Rise of Cobra;05-05-2021;5;;07-08-2009;150201498;32;tt1046173;134
Zombieland;07-05-2021;3;;02-10-2009;75590286;73;tt1156398;133
Monster;08-05-2021;8;;24-12-2003;34469210;74;tt0340855;202
Open Season;08-05-2021;8;;29-09-2006;85105259;49;tt0400717;169
The Clovehitch Killer;09-05-2021;6;;16-11-2018;8208;59;tt6269368;23
Flipped;02-06-2021;14;;06-08-2010;1755212;45;tt0817177;123
Monsters vs Aliens;03-06-2021;11;;27-03-2009;198351526;56;tt0892782;140
The Interpreter;05-06-2021;5;;22-04-2005;72708161;62;tt0373926;187
Abduction;08-06-2021;2;;23-09-2011;28087155;25;tt1600195;110
Kung Fu Panda 2;03-07-2021;13;;26-05-2011;165249063;67;tt1302011;115
Talladega Nights: The Ballad of Ricky Bobby;04-07-2021;11;;04-08-2006;148213377;66;tt0415306;173
Terminator 2: Judgment Day;04-07-2021;3;;03-07-1991;204843345;75;tt0103064;354
The Life of David Gale;06-07-2021;1;;21-02-2003;19955598;31;tt0289992;214
Home Again;14-07-2021;3;;08-09-2017;27020284;41;tt5719700;40
School of Rock;07-09-2021;12;;03-10-2003;81261177;82;tt0332379;209
The Nutty Professor;10-09-2021;1;;28-06-1996;128814019;62;tt0117218;296
Jaws;21-09-2021;8;;20-06-1975;260000000;87;tt0073195;549
Step Brothers;03-10-2021;25;;25-07-2008;100468793;51;tt0838283;152
Gladiator;05-10-2021;4;;05-05-2000;187705427;67;tt0172495;251
Don't Be a Menace to South Central While Drinking Your Juice in the Hood;06-10-2021;6;;12-01-1996;20109115;53;tt0116126;302
Something Borrowed;08-10-2021;12;;06-05-2011;39046489;36;tt0491152;119
Jumanji;13-10-2021;5;;15-12-1995;100475249;39;tt0113497;303
King Arthur: Legend of the Sword;26-10-2021;12;;12-05-2017;39175066;41;tt1972591;47
When a Stranger Calls;02-11-2021;3;;28-09-1979;20149106;58;tt0080130;499
Snakes on a Plane;02-11-2021;2;;18-08-2006;34020814;58;tt0417148;176
American Gangster;03-11-2021;10;;02-11-2007;130164645;76;tt0765429;162
Just Friends;09-11-2021;2;;23-11-2005;32619671;47;tt0433400;185
The Holiday;14-11-2021;15;;08-12-2006;63224849;52;tt0457939;173
Fool's Gold;02-12-2021;5;;08-02-2008;70231041;29;tt0770752;159
Final Destination 5;04-12-2021;3;;12-08-2011;42587643;50;tt1622979;117
Stepmom;09-12-2021;6;;25-12-1998;91137662;58;tt0120686;269
Peter Rabbit 2: The Runaway;10-12-2021;9;;11-06-2021;40501717;43;tt8376234;0
Dr. Seuss' The Cat in the Hat;10-12-2021;11;;21-11-2003;101149285;19;tt0312528;210
Eye in the Sky;16-12-2021;2;;11-03-2016;18704595;73;tt2057392;63
Charlie and the Chocolate Factory;05-01-2022;36;;15-07-2005;206459076;72;tt0367594;191
Braveheart;10-01-2022;1;;24-05-1995;75609945;68;tt0112573;313
Malibu's Most Wanted;11-01-2022;2;;18-04-2003;34432201;43;tt0328099;218
Transformers: Revenge of the Fallen;02-02-2022;8;;24-06-2009;402111870;35;tt1055369;145
That's My Boy;02-02-2022;5;;15-06-2012;36931089;31;tt1232200;109
Countdown;02-02-2022;3;;25-10-2019;25621766;31;tt10039344;21
Transformers: Dark of the Moon;03-02-2022;9;;29-06-2011;352390543;42;tt1399103;121
Scooby-Doo;08-02-2022;5;;14-06-2002;153294164;35;tt0267913;229
Warrior;10-02-2022;5;;09-09-2011;13657115;71;tt1291584;119
Halloween;22-02-2022;4;;25-10-1978;47000000;87;tt0077651;513
Coach Carter;07-03-2022;10;;14-01-2005;67264877;57;tt0393162;199
The Shawshank Redemption;10-03-2022;1;;23-09-1994;28341469;81;tt0111161;323
Monster-in-Law;07-04-2022;8;;13-05-2005;82931301;31;tt0369735;196
Top Gun;24-05-2022;8;;16-05-1986;176781728;50;tt0092099;426
10,000 BC;08-06-2022;6;;07-03-2008;94784201;34;tt0443649;165
It;20-06-2022;13;;08-09-2017;327481748;69;tt1396484;51
Sing 2;23-06-2022;99;;22-12-2021;162790990;49;tt6467266;0
The Mist;23-06-2022;12;;21-11-2007;25594957;58;tt0884328;169
Wanted;07-07-2022;9;;27-06-2008;134508551;64;tt0493464;162
Barefoot;13-07-2022;8;;21-02-2014;15071;22;tt2355495;94
Pan;18-07-2022;5;;09-10-2015;35088320;36;tt3332064;75
Uncharted;06-08-2022;25;;18-02-2022;148648820;45;tt1464335;0
Collateral;02-09-2022;7;;06-08-2004;101005703;71;tt0369339;210
This Is 40;02-09-2022;9;;21-12-2012;67544505;59;tt1758830;110
Mr. & Mrs. Smith;02-10-2022;9;;10-06-2005;186336279;55;tt0356910;201
Harriet;03-10-2022;1;;01-11-2019;43082155;66;tt4648786;29
The Ruins;03-10-2022;1;;04-04-2008;17432844;44;tt0963794;167
Don't Let Go;03-10-2022;1;;30-08-2019;5215062;49;tt6803212;31
The Boss Baby;03-10-2022;1;;31-03-2017;175003033;50;tt3874544;60
Emma;03-10-2022;1;;21-02-2020;10055355;71;tt9214832;25
Trial by Fire;03-10-2022;1;;17-05-2019;148504;51;tt3263946;34
Dracula Untold;17-10-2022;1;;10-10-2014;56280355;40;tt0829150;90
